15	0	0,0,0;0
14	0	0,0,0;0
33	0	0,0,0;0
16	0	0,0,0;0
32	0	0,0,0;0
19	0	0,0,0;0
36	0	0,0,0;0
7	0	0,0,0;0
39	0	0,0,0;0
28	0	0,0,0;0
21	0	0,0,0;0
27	0	0,0,0;0
44	0	0,0,0;0
20	0	0,0,0;0
31	0	0,0,0;0
10	0	0,0,0;0
46	0	0,0,0;0
48	0	0,0,0;0
5	0	0,0,0;0
18	0	0,0,0;0
37	0	0,0,0;0
40	0	0,0,0;0
4	0	0,0,0;0
0	0	0,0,0;0
17	0	0,0,0;0
22	0	0,0,0;0
49	0	0,0,0;0
6	0	0,0,0;0
35	0	0,0,0;0
25	0	0,0,0;0
9	0	0,0,0;0
34	0	0,0,0;0
29	0	0,0,0;0
30	0	0,0,0;0
26	0	0,0,0;0
23	0	0,0,0;0
43	0	0,0,0;0
11	0	0,0,0;0
24	0	0,0,0;0
41	0	0,0,0;0
8	0	0,0,0;0
38	0	0,0,0;0
13	0	0,0,0;0
42	0	0,0,0;0
2	0	0,0,0;0
47	0	0,0,0;0
3	0	0,0,0;0
12	0	0,0,0;0
1	0	0,0,0;0
45	0	0,0,0;0
107	2	122,0,139;1
130	2	122,0,139;1
129	2	122,0,139;1
102	2	122,0,139;1
125	2	122,0,139;1
109	2	122,0,139;1
117	2	122,0,139;1
131	2	122,0,139;1
135	2	122,0,139;1
105	2	122,0,139;1
118	2	122,0,139;1
122	2	122,0,139;1
100	2	122,0,139;1
144	2	122,0,139;1
120	2	122,0,139;1
143	2	122,0,139;1
104	2	122,0,139;1
124	2	122,0,139;1
140	2	122,0,139;1
115	2	122,0,139;1
128	2	122,0,139;1
132	2	122,0,139;1
136	2	122,0,139;1
148	2	122,0,139;1
141	2	122,0,139;1
145	2	122,0,139;1
108	2	122,0,139;1
112	2	122,0,139;1
139	2	122,0,139;1
116	2	122,0,139;1
103	2	122,0,139;1
137	2	122,0,139;1
111	2	122,0,139;1
110	2	122,0,139;1
147	2	122,0,139;1
98	1	88,0,159;2
60	1	88,0,159;2
57	1	88,0,159;2
93	1	88,0,159;2
79	1	88,0,159;2
80	1	88,0,159;2
81	1	88,0,159;2
59	1	88,0,159;2
64	1	88,0,159;2
69	1	88,0,159;2
53	1	88,0,159;2
89	1	88,0,159;2
71	1	88,0,159;2
62	1	88,0,159;2
67	1	88,0,159;2
82	1	88,0,159;2
92	1	88,0,159;2
106	2	88,0,159;2
95	1	88,0,159;2
96	1	88,0,159;2
90	1	88,0,159;2
99	1	88,0,159;2
88	1	88,0,159;2
94	1	88,0,159;2
55	1	88,0,159;2
61	1	88,0,159;2
66	1	88,0,159;2
84	1	88,0,159;2
72	1	88,0,159;2
126	2	88,0,159;2
127	2	88,0,159;2
146	2	88,0,159;2
123	2	88,0,159;2
133	2	88,0,159;2
114	2	88,0,159;2
134	2	88,0,159;2
70	1	88,0,159;2
138	2	88,0,159;2
101	2	88,0,159;2
142	2	88,0,159;2
83	1	88,0,159;2
149	2	88,0,159;2
119	2	88,0,159;2
113	2	88,0,159;2
121	2	88,0,159;2
78	1	88,0,159;2
85	1	88,0,159;2
63	1	88,0,159;2
73	1	88,0,159;2
91	1	88,0,159;2
68	1	88,0,159;2
87	1	88,0,159;2
74	1	88,0,159;2
97	1	88,0,159;2
75	1	88,0,159;2
58	1	88,0,159;2
65	1	88,0,159;2
56	1	88,0,159;2
51	1	88,0,159;2
54	1	88,0,159;2
77	1	88,0,159;2
52	1	88,0,159;2
50	1	88,0,159;2
76	1	88,0,159;2
86	1	88,0,159;2
